City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,locust grove,33.346,-84.1091,22.38,85,100,2.25,US,1693645677
152,mitsamiouli,-11.3847,43.2844,25.83,70,95,2.26,KM,1693645923
153,susuman,62.7833,148.1667,0.07,88,100,2.57,RU,1693645923
154,jamestown,42.097,-79.2353,17.77,96,0,2.57,US,1693645846
155,tura,25.5198,90.2201,27.96,86,98,0.85,IN,1693645923
156,constantia,44.1833,28.65,29.38,52,0,5.88,RO,1693645923
157,angra do heroismo,38.65,-27.2167,23.95,85,20,2.55,PT,1693645924
158,tamanrasset,22.785,5.5228,33.95,17,0,5.14,DZ,1693645924
159,hami,42.8,93.45,37.01,10,0,2.15,CN,1693645924
160,la paz centro,12.34,-86.6753,25.03,83,100,1.45,NI,1693645925
161,vicam,27.6333,-110.2833,28.18,75,0,1.54,MX,1693645925
162,nouadhibou,20.931,-17.0347,26.99,57,15,6.17,MR,1693645925
163,kerikeri,-35.2268,173.9474,14.95,86,100,1.34,NZ,1693645813
164,harper,4.375,-7.7169,26.21,82,79,5.47,LR,1693645926
165,pacific grove,36.6177,-121.9166,16.48,87,7,2.73,US,1693645713
166,whitehorse,60.7161,-135.0538,12.43,46,75,5.14,CA,1693645926
167,nizhneudinsk,54.9076,99.0276,16.06,81,100,1.4,RU,1693645927
168,daru,-9.0763,143.2092,23.5,71,10,4.87,PG,1693645927
169,satka,55.0425,59.04,12.04,89,100,2.52,RU,1693645927
170,gisborne,-38.6533,178.0042,9.42,79,57,1.88,NZ,1693645927
171,goure,13.9835,10.2704,30.49,49,68,3.36,NE,1693645928
172,ad dawadimi,24.5077,44.3924,37.66,9,11,2.9,SA,1693645928
173,nuku'alofa,-21.1333,-175.2,21.19,94,40,0.51,TO,1693645928
174,yuli,9.6989,10.2744,26.47,79,81,4.29,NG,1693645928
175,saipan,15.1355,145.701,28.39,83,0,3.09,MP,1693645929
176,bandiagara,14.3501,-3.6104,28.69,63,73,6.17,ML,1693645929
177,anse royale,-4.7333,55.5167,27.32,69,40,6.17,SC,1693645929
178,westport,41.1415,-73.3579,16.9,84,0,2.06,US,1693645708
179,cannonvale,-20.2833,148.7,22.66,73,10,2.53,AU,1693645930
180,iskateley,67.6803,53.1512,20.6,64,99,2.75,RU,1693645930
181,east london,-33.0153,27.9116,16.52,77,75,7.72,ZA,1693645930
182,akureyri,65.6835,-18.0878,13.92,70,100,10.48,IS,1693645783
183,mahibadhoo,3.7833,72.9667,26.96,81,100,6.67,MV,1693645931
184,sisimiut,66.9395,-53.6735,2.15,85,99,8.04,GL,1693645931
185,bredasdorp,-34.5322,20.0403,15.66,46,9,6.04,ZA,1693645932
186,keflavik,64.0049,-22.5624,11.24,76,100,12.86,IS,1693645932
187,smithers,54.7804,-127.1743,11.18,58,0,0.0,CA,1693645932
188,pamandzi,-12.7967,45.2794,28.88,65,20,4.12,YT,1693645932
189,punta arenas,-53.15,-70.9167,1.32,76,9,5.87,CL,1693645933
190,lompoc,34.6391,-120.4579,20.43,88,100,5.81,US,1693645933
191,mil'kovo,55.6078,37.7956,20.73,70,100,1.36,RU,1693645933
192,ulsteinvik,62.3432,5.8487,14.95,78,20,0.45,NO,1693645933
193,prince george,53.9166,-122.753,14.58,76,0,2.57,CA,1693645934
194,alofi,-19.0595,-169.9187,23.19,71,88,6.87,NU,1693645934
195,francistown,-21.17,27.5079,30.13,9,0,5.17,BW,1693645934
196,alo,7.4178,6.7371,24.76,93,100,1.82,NG,1693645935
197,bemidji,47.4736,-94.8803,21.06,88,0,1.54,US,1693645935
198,mount gambier,-37.8333,140.7667,9.92,87,2,1.08,AU,1693645935
199,qrendi,35.8347,14.4583,27.81,61,40,5.66,MT,1693645935
200,vila velha,-20.3297,-40.2925,20.97,97,75,2.57,BR,1693645722
201,colonia,50.9333,6.95,23.01,84,0,2.57,DE,1693645936
202,reyes,-14.3167,-67.3833,25.03,75,33,2.18,BO,1693645936
203,chela,34.069,104.4619,24.24,30,1,2.49,CN,1693645936
204,markovo,57.3206,107.0881,14.1,40,0,4.62,RU,1693645936
205,santa ana de yacuma,-13.75,-65.4333,26.06,67,6,2.71,BO,1693645937
206,taltal,-25.4,-70.4833,13.8,85,11,2.16,CL,1693645937
207,sretensk,52.2453,117.7093,10.59,94,100,5.78,RU,1693645937
208,yei,4.095,30.6779,29.14,59,69,1.83,SS,1693645938
209,port douglas,-16.4833,145.4667,22.21,73,9,2.74,AU,1693645938
210,hutchinson island south,27.2995,-80.2205,28.33,89,40,4.02,US,1693645938
211,roma,43.2128,-75.4557,14.93,96,0,1.54,US,1693645938
212,anadyr,64.75,177.4833,8.28,87,40,5.0,RU,1693645939
213,talara,-4.5772,-81.2719,20.45,83,34,6.06,PE,1693645939
214,turkmenbasy,40.0222,52.9552,29.86,36,3,5.5,TM,1693645939
215,kabalo,-6.05,26.9167,37.42,24,52,1.05,CD,1693645939
216,mezhdurechensk,53.6942,88.0603,22.8,42,14,1.31,RU,1693645940
217,new norfolk,-42.7826,147.0587,9.28,92,94,1.06,AU,1693645940
218,sambek,47.7431,39.8308,28.6,34,0,4.17,RU,1693645940
219,luganville,-15.5333,167.1667,24.25,89,51,3.22,VU,1693645940
220,itaituba,-4.2761,-55.9836,23.68,69,84,1.27,BR,1693645940
221,savanna-la-mar,18.219,-78.1332,28.97,87,71,1.57,JM,1693645941
222,uturoa,-16.7333,-151.4333,24.07,74,95,6.82,PF,1693645941
223,mount horeb,43.0086,-89.7385,18.39,64,23,3.38,US,1693645941
224,badger,64.8,-147.5333,8.32,83,40,7.2,US,1693645942
225,vilyuchinsk,52.9306,158.4028,15.7,81,70,3.05,RU,1693645942
226,sault ste. marie,46.5168,-84.3333,19.16,81,0,4.12,CA,1693645942
227,utrik,11.2278,169.8474,28.48,74,100,3.5,MH,1693645942
228,dhuusamarreeb,5.535,46.3861,34.13,29,42,9.47,SO,1693645943
229,motueka,-41.1333,173.0167,8.94,81,89,1.74,NZ,1693645823
230,mar del plata,-38.0023,-57.5575,13.4,58,100,4.47,AR,1693645943
231,mont-dore,-22.2833,166.5833,18.99,79,100,2.21,NC,1693645943
232,magong,23.5654,119.5863,28.24,86,83,7.92,TW,1693645944
233,luisant,48.4295,1.4738,23.32,80,79,3.13,FR,1693645944
234,northam,51.0333,-4.2167,19.05,88,6,1.95,GB,1693645944
235,vorkuta,67.5,64.0,13.99,66,100,1.59,RU,1693645945
236,merizo village,13.2658,144.6691,28.88,91,96,5.31,GU,1693645945
237,chicoana,-25.1009,-65.5331,11.03,40,0,0.81,AR,1693645945
238,margate,51.3813,1.3862,19.27,84,96,1.34,GB,1693645880
239,mhamid,29.82,-5.72,32.12,16,100,2.19,MA,1693645945
240,umm kaddadah,13.6017,26.6876,32.82,39,16,1.78,SD,1693645946
